Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
30.84877610206604	0	-236.40567	121.27583	143.95581	-688.0919	133.43333333333334	66.09457029304467	40030	40030
62.67887496948242	1	-232.32652	137.85315	194.05226	-697.6705	134.77777777777777	49.52057468992712	40029	80059
96.7245421409607	2	-214.32253	130.0558	180.36357	-596.8106	136.40136054421768	48.695661830825514	40102	120161
131.27084708213806	3	-222.76291	135.67435	206.38959	-675.4509	140.91197183098592	71.44230409513499	40019	160180
162.43621301651	4	-219.34709	110.64254	162.14595	-574.4429	136.41156462585033	45.801895241966	40105	200285
192.55296397209167	5	-187.68533	118.48606	146.43138	-591.17377	132.8112582781457	47.8588654177989	40109	240394
222.10929894447327	6	-180.03394	111.7846	164.3013	-671.0165	135.2895622895623	48.74440648711884	40181	280575
251.33217000961304	7	-175.45874	114.42042	150.7026	-608.08765	135.6271186440678	51.32703331895296	40010	320585
282.19304609298706	8	-165.2589	110.21969	175.89536	-484.5353	139.1875	69.58951756450904	40086	360671
314.4974150657654	9	-151.30812	117.17378	251.80566	-478.36453	144.4259927797834	85.15417601390108	40006	400677
344.96839714050293	10	-157.59132	113.46787	141.00209	-514.4977	141.9290780141844	71.95764567778998	40024	440701
374.7331440448761	11	-142.78546	115.98448	160.19478	-473.1096	141.1161971830986	58.35591276428352	40077	480778
404.7509491443634	12	-151.85303	103.0502	160.94496	-446.11197	147.3014705882353	52.79396966635004	40066	520844
434.9664480686188	13	-133.2483	108.49861	205.26044	-454.59393	143.3892857142857	50.33305388882648	40149	560993
465.23506903648376	14	-123.868225	109.09335	197.67368	-437.05426	144.3189964157706	55.836378004579046	40265	601258
495.99767112731934	15	-135.32378	105.32485	238.35092	-478.15225	147.72058823529412	55.29588740909998	40180	641438
531.9481501579285	16	-122.930115	105.2833	239.13388	-369.24646	160.74698795180723	103.60531107474866	40026	681464
565.8915090560913	17	-121.182205	115.185165	202.28915	-504.60452	158.19291338582678	82.6679047119554	40181	721645
598.5361039638519	18	-110.80412	113.662	213.02711	-589.1201	156.8984375	67.43420865968989	40166	761811
631.8422629833221	19	-119.55852	115.31993	198.74762	-469.40955	158.78968253968253	78.32491984134543	40015	801826
667.7577950954437	20	-111.73015	122.58825	218.86664	-603.1571	175.0873362445415	96.07239476632112	40095	841921
701.095654964447	21	-109.314186	123.56993	208.21265	-423.47366	167.85355648535565	67.00839498011919	40117	882038
744.8805470466614	22	-106.27196	122.1305	200.43153	-462.91013	206.9536082474227	153.51813389770655	40149	922187
780.1424429416656	23	-100.30376	121.5499	206.53201	-464.2534	176.5770925110132	81.1476437857997	40083	962270
817.535660982132	24	-90.7699	128.72046	237.98676	-594.24274	187.48130841121494	96.76171293376758	40121	1002391
862.5566470623016	25	-100.10554	140.6402	169.02338	-604.41205	228.66285714285715	143.44992373789594	40016	1042407
904.8881759643555	26	-90.94997	122.520325	250.27657	-542.5087	205.78974358974358	136.90577668483476	40129	1082536
944.9504480361938	27	-98.64032	128.85344	207.32695	-696.31323	210.79473684210527	130.37397614750304	40051	1122587
988.6846630573273	28	-81.56646	124.222786	206.5047	-415.21878	214.11170212765958	134.36803726157606	40253	1162840
1029.2120480537415	29	-75.48173	135.86127	221.25995	-406.27838	213.45744680851064	125.84029602682723	40130	1202970
1080.132977962494	30	-96.93091	126.487305	228.66464	-470.65057	243.47619047619048	183.88023251371274	40904	1243874
1131.3067820072174	31	-93.924866	134.80547	230.93674	-743.5063	248.04320987654322	185.61563727114492	40183	1284057
1185.4753749370575	32	-69.573715	132.09827	212.59706	-550.1116	247.19135802469137	183.07448170414736	40045	1324102
1235.251296043396	33	-81.489136	148.85983	224.34772	-545.3066	234.08771929824562	146.48129601796435	40029	1364131
1291.4920129776	34	-49.446636	138.4328	214.9187	-411.96487	253.5379746835443	188.47759951768467	40059	1404190
1343.3052611351013	35	-42.681896	142.65022	223.77283	-550.53564	248.8136645962733	169.0954820487634	40059	1444249
1394.7253210544586	36	-58.654434	138.16602	223.39262	-457.1429	224.30167597765364	128.0758702671082	40150	1484399
1458.3529901504517	37	-44.429226	130.73093	197.28839	-451.71063	260.28205128205127	189.00060354237493	40604	1525003
1518.9101960659027	38	-35.76238	135.75734	213.5024	-365.90976	287.15	227.21619424805843	40201	1565204
1575.0514640808105	39	-7.073623	144.7665	235.72882	-453.2726	259.1161290322581	179.621104975884	40163	1605367
1634.3385100364685	40	-24.481188	141.64862	249.67242	-460.82584	275.99319727891157	201.3720115322706	40571	1645938
1688.891874074936	41	-18.38559	145.25946	212.7984	-554.494	252.1509433962264	183.18853705724302	40092	1686030
1748.5804331302643	42	-5.315601	133.14923	233.04869	-370.31235	275.3493150684931	178.86520494670495	40201	1726231
1803.7687349319458	43	-18.433271	161.93733	225.9654	-696.48315	283.709219858156	208.89814067484076	40003	1766234
1870.157175064087	44	17.210651	148.44835	232.96619	-571.6643	301.02962962962965	239.2007971230599	40639	1806873
1928.5284581184387	45	-3.6541607	150.25743	224.24133	-625.2904	291.6014492753623	223.95679383565476	40241	1847114
1986.2557549476624	46	2.1196635	128.61731	217.59357	-324.76025	283.6950354609929	217.6373763028902	40001	1887115
2053.391133069992	47	3.2992415	153.19246	229.80252	-664.8688	327.3821138211382	256.26030085424026	40268	1927383
2112.474380016327	48	5.4479785	137.05678	224.0267	-416.82468	306.40458015267177	209.3212140850638	40139	1967522
2173.399472951889	49	17.759802	159.46295	217.93591	-525.4397	304.7121212121212	230.53437692453875	40222	2007744
2231.9651141166687	50	11.174118	143.02069	241.45581	-532.342	304.31060606060606	230.11693774910756	40169	2047913
2295.6246931552887	51	42.505745	133.32645	220.73613	-380.1974	339.55	235.49528834635598	40746	2088659
2358.9297230243683	52	43.08084	133.60893	237.90982	-394.15607	317.8888888888889	222.6703814283168	40054	2128713
2430.6416199207306	53	27.996344	150.48672	255.58818	-596.0351	340.33898305084745	255.89580838987612	40160	2168873
2491.6162531375885	54	40.38844	125.60391	235.73914	-318.65082	317.76190476190476	202.94687820745025	40038	2208911
2562.811061143875	55	37.775116	120.00577	236.11093	-295.9981	345.44827586206895	257.28279573221755	40072	2248983
2634.764965057373	56	72.07093	121.075165	231.41757	-223.12183	332.91735537190084	228.87672479598382	40283	2289266
2687.801223039627	57	67.75297	135.35689	243.3589	-415.0443	311.10769230769233	171.35537728779855	40444	2329710
2752.0602729320526	58	56.003998	134.29611	216.62112	-410.44586	347.9304347826087	242.18479188741415	40012	2369722
2814.330204963684	59	76.99427	120.07978	240.80864	-233.9655	331.801652892562	227.45391395285893	40148	2409870
2883.3771300315857	60	72.75072	133.12444	255.95737	-374.66272	311.93798449612405	195.0837924497007	40240	2450110
2953.9925220012665	61	67.13911	134.85158	225.53174	-754.3796	307.8692307692308	216.95250768708797	40023	2490133
3025.5498089790344	62	72.02018	129.08492	232.55626	-417.65234	345.6068376068376	236.86326097073723	40436	2530569
3088.5511350631714	63	52.045532	138.0774	230.90689	-390.17075	312.671875	232.7286882487511	40022	2570591
3150.655974149704	64	55.97151	139.55168	246.86908	-566.3221	280.40972222222223	211.4438267009062	40379	2610970
3216.1373450756073	65	74.45905	122.31756	225.21002	-294.97244	321.36	227.4953151165975	40170	2651140
3280.7553379535675	66	76.875694	120.01337	246.79332	-184.86815	302.8721804511278	214.90076092378447	40282	2691422
3332.4895441532135	67	101.73109	108.25025	243.58066	-205.00458	286.12857142857143	164.69651062558947	40058	2731480
3384.1141901016235	68	114.04641	108.240425	233.04195	-233.4826	264.2368421052632	160.76837444474782	40164	2771644
3440.541948080063	69	105.4753	108.954216	227.95024	-381.37936	286.14285714285717	194.46525842600752	40060	2811704
3493.221838951111	70	100.38074	115.95644	221.39352	-328.3183	278.5793103448276	160.53383654353507	40394	2852098
3548.8037559986115	71	100.32579	125.33465	250.07419	-405.56213	282.3098591549296	196.07152988737178	40088	2892186
3618.567724943161	72	97.84178	127.248505	254.7551	-453.2563	338.72727272727275	260.4364106014022	40986	2933172
3677.590831041336	73	107.09575	110.42484	253.20477	-239.02399	298.65671641791045	216.27587773653957	40020	2973192
3738.285274028778	74	75.44566	132.3816	249.72827	-392.15768	313.3359375	231.74768328614655	40107	3013299
3796.577961921692	75	108.87033	119.04627	241.74179	-427.3442	286.89285714285717	194.12781858605322	40165	3053464
3851.9894890785217	76	113.8861	107.977295	233.07178	-376.42044	288.0719424460432	198.38193090031587	40042	3093506
3896.078803062439	77	131.60289	93.44754	234.7999	-163.10117	245.0060975609756	127.29620235321813	40181	3133687
3956.9358241558075	78	111.99575	110.943535	240.30014	-387.6027	307.82307692307694	225.8323907198098	40017	3173704
4008.309392929077	79	126.599174	101.39585	266.4551	-448.33426	270.1476510067114	156.27266550620783	40252	3213956
4061.639466047287	80	127.11049	100.91943	236.3604	-334.31967	278.40277777777777	169.81044658695686	40090	3254046
4117.2107191085815	81	117.74382	109.54536	229.16179	-282.059	273.0952380952381	190.57558121174657	40145	3294191
4174.298660993576	82	121.734764	107.29004	248.29056	-342.67508	285.99285714285713	196.8746336569316	40039	3334230
4231.112380981445	83	121.56289	104.021255	224.84798	-200.2624	276.57241379310346	204.10628552478565	40103	3374333
4284.6264889240265	84	129.64326	98.09691	259.72482	-290.28992	261.1548387096774	176.55397208001878	40479	3414812
4346.440536022186	85	121.501526	104.03613	241.90552	-166.29245	275.2671232876712	208.4575871285345	40189	3455001
4398.626127958298	86	121.59749	109.0085	252.04706	-332.4823	243.4121212121212	172.95727228103016	40163	3495164
4448.803854942322	87	106.37377	111.51843	236.33365	-239.58589	237.09467455621302	173.55916552039736	40069	3535233
4497.041120052338	88	131.37712	100.2125	250.29532	-364.48575	229.13636363636363	147.3532537983423	40328	3575561
4540.808500051498	89	118.94027	111.37362	253.63867	-300.73984	229.38857142857142	138.01667760803107	40143	3615704
4596.198390007019	90	114.02961	111.8466	235.16577	-314.6087	244.4512195121951	182.67458421473137	40090	3655794
4636.959237098694	91	131.26447	98.84346	248.42998	-155.52155	211.65079365079364	118.56141561172797	40002	3695796
4683.21614408493	92	145.88016	84.19067	234.37704	-108.37634	227.5586592178771	141.01769242139773	40733	3736529
