Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.871350049972534	0	16.164516	8.804437	62.0	4.0	16.164516129032258	8.804436139447592	5011	5011
6.403486013412476	1	18.800753	9.559163	67.0	6.0	18.80075187969925	9.559162799096965	5001	10012
8.882858991622925	2	20.275303	9.344352	52.0	6.0	20.275303643724698	9.344352329314171	5008	15020
11.382507085800171	3	24.081339	11.026201	57.0	7.0	24.08133971291866	11.026201336295225	5033	20053
13.872200965881348	4	24.588236	11.0828905	86.0	8.0	24.58823529411765	11.082889958264028	5016	25069
16.31271505355835	5	26.513227	9.818247	61.0	10.0	26.513227513227513	9.818246950502006	5011	30080
18.689686059951782	6	27.135136	10.265561	70.0	9.0	27.135135135135137	10.265560797893702	5020	35100
21.085527896881104	7	30.585365	11.40598	68.0	11.0	30.585365853658537	11.405979625074494	5016	40116
23.43885087966919	8	33.225166	12.959525	80.0	14.0	33.22516556291391	12.959525472380447	5017	45133
25.86574101448059	9	34.944443	13.654353	94.0	14.0	34.94444444444444	13.654353079684563	5032	50165
28.214675903320312	10	34.114864	12.974258	94.0	13.0	34.11486486486486	12.97425915639942	5049	55214
30.631295919418335	11	39.700787	12.909324	84.0	14.0	39.7007874015748	12.909323347924113	5042	60256
33.054051876068115	12	43.16379	15.666208	104.0	20.0	43.16379310344828	15.66620784909312	5007	65263
35.44018197059631	13	47.92453	18.14184	105.0	21.0	47.924528301886795	18.14184057626133	5080	70343
37.84693098068237	14	53.20213	21.735636	157.0	24.0	53.202127659574465	21.735635896230185	5001	75344
40.20166897773743	15	59.75	17.795048	110.0	29.0	59.75	17.795046796122524	5019	80363
42.59191298484802	16	66.57895	18.625296	119.0	33.0	66.57894736842105	18.62529629428379	5060	85423
44.9968900680542	17	86.81035	43.92135	218.0	24.0	86.8103448275862	43.921346980377876	5035	90458
47.42598485946655	18	101.92	50.353886	280.0	45.0	101.92	50.35388366352689	5096	95554
49.87618088722229	19	114.25	51.257427	274.0	52.0	114.25	51.25742739970826	5027	100581
52.23882007598877	20	141.75	61.433514	287.0	51.0	141.75	61.43351193679952	5103	105684
54.60205698013306	21	137.2973	52.697952	278.0	52.0	137.2972972972973	52.69794850351559	5080	110764
56.9106080532074	22	129.61539	55.81867	260.0	39.0	129.6153846153846	55.8186695100995	5055	115819
59.29794001579285	23	146.77142	63.32866	398.0	74.0	146.77142857142857	63.328660049565784	5137	120956
61.71947908401489	24	169.86667	76.826965	374.0	54.0	169.86666666666667	76.82696285954707	5096	126052
64.09235286712646	25	186.81482	83.331566	320.0	66.0	186.8148148148148	83.33157199784709	5044	131096
66.55398106575012	26	240.7619	84.43701	383.0	48.0	240.76190476190476	84.43701781401487	5056	136152
69.10114288330078	27	201.96153	92.10883	405.0	62.0	201.96153846153845	92.10883227057285	5251	141403
71.61109590530396	28	210.33333	99.98319	543.0	70.0	210.33333333333334	99.98319303207359	5048	146451
74.05312895774841	29	203.28	123.248215	634.0	65.0	203.28	123.24821134604753	5082	151533
76.57451891899109	30	168.7	91.73627	403.0	60.0	168.7	91.73627054406198	5061	156594
79.29279208183289	31	162.78787	85.783295	448.0	60.0	162.78787878787878	85.78329200030475	5372	161966
