Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.298194885253906	0	11.5034485	6.481582	55.0	4.0	11.50344827586207	6.481582187215052	5004	5004
6.878384828567505	1	12.711392	6.908278	60.0	4.0	12.711392405063291	6.908277686431959	5021	10025
9.339066982269287	2	14.32	7.674477	73.0	4.0	14.32	7.674477180889915	5012	15037
12.11646294593811	3	15.936306	8.463621	57.0	5.0	15.936305732484076	8.463621312147941	5004	20041
14.71062684059143	4	16.91554	8.382513	48.0	5.0	16.91554054054054	8.382512466340653	5007	25048
17.418740034103394	5	17.942652	9.156364	68.0	5.0	17.942652329749105	9.156364188449846	5006	30054
19.437943935394287	6	20.916666	9.966681	66.0	6.0	20.916666666666668	9.966680601996947	5020	35074
21.512876987457275	7	21.289362	10.052273	58.0	6.0	21.28936170212766	10.052272613641097	5003	40077
23.52306580543518	8	22.885845	9.675122	56.0	7.0	22.885844748858446	9.675121350393846	5012	45089
25.69779896736145	9	23.166666	9.941496	69.0	8.0	23.166666666666668	9.941495528004493	5004	50093
27.89593482017517	10	25.78866	10.048936	62.0	8.0	25.788659793814432	10.04893569056573	5003	55096
30.069247007369995	11	25.467005	11.81478	97.0	9.0	25.467005076142133	11.814779424849297	5017	60113
32.21125388145447	12	28.265537	13.605524	89.0	8.0	28.26553672316384	13.605523922624347	5003	65116
34.3852698802948	13	29.238373	12.694356	94.0	7.0	29.238372093023255	12.694355718876036	5029	70145
37.173359870910645	14	29.17442	10.956778	67.0	12.0	29.174418604651162	10.956777514360176	5018	75163
39.72604489326477	15	31.080246	10.65797	70.0	13.0	31.080246913580247	10.657970063054202	5035	80198
42.30204391479492	16	33.0	14.208966	84.0	12.0	33.0	14.20896677602229	5016	85214
44.83581185340881	17	34.70345	13.114943	91.0	13.0	34.703448275862065	13.114942327258806	5032	90246
47.39535689353943	18	35.06294	12.745061	92.0	15.0	35.06293706293706	12.745061724710018	5014	95260
49.91377282142639	19	36.246376	15.814052	120.0	14.0	36.2463768115942	15.814051536622124	5002	100262
52.456846952438354	20	38.49231	14.210096	89.0	17.0	38.49230769230769	14.210097251789849	5004	105266
55.05117583274841	21	39.48819	14.991792	109.0	18.0	39.488188976377955	14.991791003999323	5015	110281
57.61267399787903	22	39.88095	15.096309	100.0	17.0	39.88095238095238	15.096308359234634	5025	115306
60.124337911605835	23	44.04348	16.436646	102.0	16.0	44.04347826086956	16.43664585711258	5065	120371
62.6469669342041	24	43.695652	13.773429	98.0	20.0	43.69565217391305	13.773429943218796	5025	125396
65.14263796806335	25	43.775864	14.420464	87.0	18.0	43.775862068965516	14.420463313911645	5078	130474
67.63563799858093	26	47.657143	17.714577	106.0	16.0	47.65714285714286	17.714577570560394	5004	135478
70.10173892974854	27	53.31915	22.778402	158.0	16.0	53.319148936170215	22.778401848353013	5012	140490
72.59996891021729	28	56.30337	20.217028	148.0	25.0	56.30337078651685	20.217027251428167	5011	145501
75.07687091827393	29	56.595505	18.142828	165.0	26.0	56.59550561797753	18.14282852786581	5037	150538
77.53190588951111	30	62.6875	22.83013	128.0	23.0	62.6875	22.830130173741892	5015	155553
80.02992296218872	31	64.18987	19.72217	137.0	29.0	64.18987341772151	19.722168949819967	5071	160624
82.4922559261322	32	70.111115	22.731863	144.0	26.0	70.11111111111111	22.731864294883245	5048	165672
85.01729893684387	33	74.98508	25.332706	161.0	40.0	74.98507462686567	25.33270703833195	5024	170696
87.46809983253479	34	74.74627	22.742126	134.0	42.0	74.74626865671642	22.742125606940384	5008	175704
89.89135384559631	35	77.69231	25.725128	169.0	43.0	77.6923076923077	25.725128736717917	5050	180754
