Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
29.9014949798584	0	-228.89107	120.9013	176.06961	-927.9263	124.2360248447205	65.28561382891345	40004	40004
59.73534297943115	1	-216.69827	117.8736	172.87315	-499.11505	122.28658536585365	43.85011405885303	40110	80114
91.96802711486816	2	-198.54578	113.15005	148.51297	-550.36615	122.74846625766871	43.36446250188145	40016	120130
123.38041996955872	3	-180.90675	102.69356	154.72018	-521.226	122.125	62.81520213214664	40057	160187
154.473974943161	4	-183.49582	97.8515	121.91813	-453.17523	121.84498480243161	62.67907098779773	40087	200274
184.0703001022339	5	-182.10208	103.45398	184.32884	-601.3535	122.62385321100918	54.910344884792266	40098	240372
211.5880310535431	6	-186.16339	100.79262	150.23445	-510.7328	123.63271604938272	40.20431205029991	40057	280429
238.0849039554596	7	-167.39528	102.38895	148.49788	-544.2784	124.70404984423676	38.50949167842714	40030	320459
266.52145195007324	8	-156.39902	101.060234	136.98444	-509.8207	127.9297124600639	65.50863791234998	40042	360501
295.8293631076813	9	-158.73833	102.17588	132.67291	-473.2268	133.02649006622516	82.28793310102023	40174	400675
322.6927740573883	10	-150.48196	96.689835	199.13377	-434.59927	127.28253968253968	45.48559353187378	40094	440769
351.78930592536926	11	-149.2681	100.80252	160.64816	-457.7393	129.30868167202573	66.2266003463779	40215	480984
378.73823714256287	12	-153.92532	90.02633	175.90846	-634.07007	126.92405063291139	43.27971201613948	40108	521092
409.2654309272766	13	-149.54071	96.21876	140.84631	-566.9552	138.04827586206898	86.07777806343339	40034	561126
436.67760014533997	14	-136.38576	93.75286	160.56354	-395.84167	130.37987012987014	45.26324715307416	40157	601283
470.73707699775696	15	-130.85756	104.173004	205.31537	-457.28217	147.22426470588235	99.66785501348343	40045	641328
501.7742440700531	16	-131.51743	104.363144	191.23853	-512.8557	143.51971326164875	90.15354567496081	40042	681370
535.680577993393	17	-123.73766	92.01793	172.55273	-343.5438	146.65201465201466	104.08122253422836	40036	721406
569.5316100120544	18	-126.09006	104.62342	226.66098	-494.53864	154.82692307692307	99.83165082235773	40255	761661
604.6116850376129	19	-110.713844	109.595215	183.26639	-602.9048	155.9533073929961	115.33047490740921	40080	801741
636.64643907547	20	-126.21317	100.521164	192.267	-458.10336	152.7290076335878	87.80760021057631	40015	841756
665.5633909702301	21	-111.05486	101.28148	191.91754	-424.64526	147.68265682656826	53.42659579580872	40022	881778
696.9088709354401	22	-118.39155	102.0681	210.39305	-418.96564	162.82926829268294	71.17323504850317	40056	921834
730.026015996933	23	-112.21217	99.71374	163.12183	-548.48956	160.19762845849803	89.58199191248318	40530	962364
764.9673390388489	24	-106.87742	111.95709	185.0326	-511.2696	171.43162393162393	104.36911416400898	40115	1002479
795.8259451389313	25	-95.436874	111.20822	218.18907	-526.77747	157.01960784313727	58.740536224354	40040	1042519
831.9008960723877	26	-83.64805	115.55022	214.0919	-547.3408	173.61904761904762	107.600642030272	40106	1082625
870.479905128479	27	-80.794174	128.44366	206.28217	-459.56476	182.57272727272726	118.36384268938868	40166	1122791
905.6864259243011	28	-99.378456	104.672134	184.40639	-454.1065	184.99539170506912	102.14801304296314	40144	1162935
940.4897699356079	29	-90.42069	130.6261	213.49315	-582.1189	188.96226415094338	98.86186518231612	40060	1202995
974.1403839588165	30	-89.68546	118.94207	192.6263	-574.4667	175.8684210526316	92.71310333003568	40098	1243093
